Date,Open,Close,Volume
1/4/21,182.259995,177.679993,13426600
1/5/21,176.199997,178.440002,7771800
1/6/21,178.320007,179.119995,7517800
1/7/21,179.5,178.580002,7300800
1/8/21,178.809998,178.690002,7894500
1/11/21,177.75,179.089996,6461300
1/12/21,177.300003,175.990005,8349800
1/13/21,174.399994,176.119995,6839500
1/14/21,177.009995,173.429993,8951200
1/15/21,172.949997,171.440002,12232500
1/19/21,172.100006,172.259995,7834700
1/20/21,175.220001,173.639999,9809200
1/21/21,173.240005,171.279999,8416400
1/22/21,174,172.779999,9517200
1/25/21,171.889999,171.889999,7833700
1/26/21,173,169.559998,7523200
1/27/21,165.009995,163.029999,18239200
1/28/21,166.169998,171.880005,14449100
1/29/21,168.800003,168.169998,12848800
2/1/21,170.839996,170.970001,8140400
2/2/21,173.770004,176.960007,12215200
2/3/21,177,176.429993,5508600
2/4/21,177.589996,180.229996,9035400
2/5/21,181.710007,181.160004,6640500
2/8/21,183.850006,190,16085700
2/9/21,188.169998,188.210007,11270800
2/10/21,189.979996,189.630005,11464600
2/11/21,189.179993,190.910004,17507900
2/12/21,193,187.669998,27233800
2/16/21,187.300003,186.350006,11630700
2/17/21,185.360001,186.440002,11391800
2/18/21,184.789993,183,12380900
2/19/21,184.270004,183.649994,8834500
2/22/21,181.740005,191.759995,18799600
2/23/21,193.589996,197.089996,23191400
2/24/21,197.580002,197.509995,16205900
2/25/21,197.729996,190.979996,12712000
2/26/21,190.070007,189.039993,15844000
3/1/21,193.229996,194.979996,10709900
3/2/21,196.100006,193.940002,8371400
3/3/21,194.630005,192.259995,8750300
3/4/21,189.899994,188.029999,12542600
3/5/21,189.149994,189.990005,10266400
3/8/21,197.309998,201.910004,25093200
3/9/21,200.190002,194.509995,23331000
3/10/21,197.309998,195.059998,13662100
3/11/21,197.380005,196.75,11933900
3/12/21,196.529999,197.160004,13249100
3/15/21,198.539993,196.759995,10311400
3/16/21,196.100006,194.240005,9680700
3/17/21,193.440002,195.240005,14418700
3/18/21,194.949997,192.279999,9644500
3/19/21,190.919998,191.139999,28354600
3/22/21,193.259995,192.860001,8838500
3/23/21,191.589996,188.729996,10701200
3/24/21,190.059998,184.720001,13549100
3/25/21,181.850006,186.910004,9609200
3/26/21,188.830002,185.919998,10196100
3/29/21,185.240005,184.850006,7544700
3/30/21,183.830002,185.529999,5929700
3/31/21,185.830002,184.520004,8478000
4/1/21,186.429993,188.970001,7749400
4/5/21,191.470001,188.5,7405300
4/6/21,188.5,189.729996,7926200
4/7/21,189.800003,187.559998,6238700
4/8/21,187.199997,187.320007,7763000
